4.0000,6.0736,9.6840
17.0000,6.5296,-9.2236
72.0000,-7.1325,-1.9674
8.0000,7.9425,-8.0293
12.0000,7.7597,-9.3911
83.0000,5.3885,8.5470
41.0000,-8.0818,-2.9369
5.0000,7.9472,-9.8077
48.0000,-7.4979,-1.9145
26.0000,-8.4407,-1.1115
27.0000,3.4311,7.3980
7.0000,-8.8316,-3.7971
59.0000,-7.6217,-1.1000
35.0000,7.1399,-8.7644
70.0000,-9.4409,-1.3887
19.0000,4.1894,10.4952
57.0000,-8.4965,-0.3358
56.0000,4.8407,9.3006
79.0000,6.8134,7.9073
1.0000,-8.1736,-3.9546
9.0000,-9.3769,-4.8204
64.0000,-9.4223,-3.6486
96.0000,10.2181,-8.9969
69.0000,-9.8570,-1.6089
97.0000,-8.3869,-2.6574
15.0000,-9.3495,-2.5746
60.0000,5.9945,9.2185
84.0000,9.3590,-7.8164
40.0000,5.4206,9.6482
21.0000,-8.3242,-4.1458
81.0000,5.1700,10.9990
98.0000,8.1168,-7.4211
24.0000,-8.0928,-1.9196
93.0000,8.8267,-9.0132
13.0000,7.6208,-6.2990
65.0000,3.6477,9.7885
86.0000,8.0822,-6.8847
30.0000,-8.2811,-2.2334
10.0000,6.8433,-8.4201
20.0000,6.0428,7.6077
36.0000,6.5502,9.3715
44.0000,8.7914,-8.9030
54.0000,8.3228,-8.2079
11.0000,-5.1332,-1.5591
91.0000,8.5841,-9.7696
2.0000,7.2195,8.8427
58.0000,-8.5920,-2.8902
25.0000,-7.3398,-2.6378
52.0000,6.6642,-10.6713
92.0000,9.7297,-7.4166
90.0000,8.2362,-9.6175
0.0000,8.2610,-6.8435
55.0000,5.0661,9.2860
29.0000,-7.1867,-3.2449
82.0000,4.7007,9.6514
32.0000,6.8067,9.1145
33.0000,5.5866,10.0060
38.0000,-7.0360,-3.0862
39.0000,8.6478,-8.8103
18.0000,5.1640,10.5001
61.0000,-6.2528,-2.5893
16.0000,5.2717,9.5278
47.0000,4.7077,10.1588
89.0000,6.5067,9.6453
63.0000,-7.3726,-2.7827
3.0000,5.0865,9.5871
31.0000,4.8761,9.7298
37.0000,-8.2440,-2.3705
75.0000,-9.0828,-3.8540
42.0000,-8.9876,-4.1609
51.0000,7.0248,-6.9181
14.0000,4.4712,11.2719
67.0000,7.4714,-7.1638
77.0000,4.4235,8.8186
62.0000,7.0999,-8.5866
85.0000,10.0600,-8.0897
34.0000,-6.5290,-4.4377
23.0000,-6.7113,-3.6176
88.0000,5.6366,9.9946
87.0000,5.0276,9.6162
43.0000,7.1748,-9.0412
49.0000,9.1015,-8.4982
78.0000,6.1918,-9.4078
22.0000,4.1260,7.3170
28.0000,5.5186,10.4137
76.0000,-7.4160,-3.3666
53.0000,3.9796,7.9065
50.0000,6.5928,-7.8068
68.0000,7.4371,-7.5458
71.0000,8.6312,-9.1768
45.0000,10.1312,-8.3614
6.0000,6.1721,7.6763
74.0000,4.9588,9.2168
73.0000,-7.1278,-3.0498
95.0000,7.6416,-8.2592
46.0000,6.0180,9.4736
80.0000,-9.2625,-1.9572
94.0000,8.2099,-7.5596
99.0000,4.7219,12.3050
66.0000,-9.2217,-2.9465
