235.0000,-5.4504,-4.9907,5.3128,-0.2167
70.0000,-0.3969,6.5011,-3.8522,-8.4795
359.0000,-2.5226,7.1317,-2.8927,-8.6403
206.0000,0.5090,-7.8060,-9.8425,-7.4700
117.0000,-10.9515,1.6774,5.4446,-1.9093
213.0000,-6.2764,-5.4660,4.0294,-3.4322
339.0000,3.6903,-1.0982,-9.8125,-5.1170
395.0000,-6.2657,-5.7474,-2.5489,6.2792
310.0000,2.6595,-1.3078,-9.5376,-5.0933
101.0000,-10.1815,2.1516,4.8711,-1.0612
287.0000,-5.8874,-6.0556,6.9014,-8.3228
30.0000,0.7989,5.6110,-5.3012,-8.4450
291.0000,-8.1472,-5.1517,3.8016,-1.9402
159.0000,-6.8599,-6.3170,3.1478,-3.7858
369.0000,-6.6122,-9.0705,8.0692,-8.6768
227.0000,-4.7734,-3.8784,-3.5990,6.8154
308.0000,0.4003,6.4412,-3.6012,-8.3216
392.0000,4.4197,-1.4909,-8.9506,-6.9127
232.0000,-5.8713,-3.4750,4.5659,-3.6465
56.0000,-5.0184,-3.1251,-0.6940,4.8019
124.0000,-5.4521,-3.8329,-1.8108,6.7176
156.0000,0.9291,-8.5933,-6.9771,-8.1873
397.0000,-5.9746,-7.3727,6.3646,-7.3428
403.0000,-6.0604,-4.6191,2.9743,-2.2013
391.0000,-9.8861,-0.1590,4.7813,-1.5754
145.0000,-4.0185,-4.6979,-2.4268,8.2149
408.0000,-10.0833,1.4022,3.9213,-1.5627
362.0000,-5.3046,-5.7299,-0.8211,4.3452
331.0000,-5.5841,-4.5148,-1.5515,5.4583
295.0000,-6.2154,-7.3828,7.7986,-9.8420
150.0000,0.1978,-9.1218,-7.7995,-8.6157
219.0000,-5.1088,-5.2192,-1.1114,6.9431
119.0000,-9.7926,2.0286,4.5341,-0.6053
338.0000,-9.7700,0.9710,4.7757,-1.9575
406.0000,-6.3273,-4.3794,0.8142,-3.3806
155.0000,-9.9149,2.0290,4.4288,-2.4168
